species,year,type,citation
woodcock,1976,band,"Coon, R. A., Caldwell, P. D., & Storm, G. L. (1976). Some characteristics of fall migration of female woodcock. The Journal of Wildlife Management, 91-95."
woodcock,1977,band,"Krohn, W. B., Rieffenberger, J. C., & Ferrigno, F. (1977). Fall migration of woodcock at Cape May, New Jersey. The Journal of Wildlife Management, 104-111."
woodcock,1977,band,"Wishart, R. A. (1977). Some features of breeding and migration of woodcock in southwestern Quebec. Bird-Banding, 48(4), 337-340."
woodcock,1990,band,"Diefenbach, D. R., Derleth, E. L., Haegen, W. M. V., Nichols, J. D., & Hines, J. E. (1990). American Woodcock winter distribution and fidelity to wintering areas. The Auk, 107(4), 745-749."
woodcock,1994,band,"Krementz, D. G., Seginak, J. T., & Pendleton, G. W. (1994). Winter movements and spring migration of American woodcock along the Atlantic coast. The Wilson Bulletin, 482-493."
woodcock,2007,VHF,"Myatt, N. A., & Krementz, D. G. (2007). Fall migration and habitat use of American woodcock in the central United States. The Journal of wildlife management, 71(4), 1197-1205."
woodcock,2007,band,"Myatt, N. A., & Krementz, D. G. (2007). American woodcock fall migration using Central Region band‐recovery and wing‐collection survey data. The Journal of wildlife management, 71(2), 336-344."
woodcock,2008,VHF,"Meunier, J., Song, R., Lutz, R. S., Andersen, D. E., Doherty, K. E., Bruggink, J. G., & Oppelt, E. (2008). Proximate cues for a short‐distance migratory species: an application of survival analysis. The Journal of Wildlife Management, 72(2), 440-448."
woodcock,2010,band,"Zimmerman, G. S., Link, W. A., Conroy, M. J., Sauer, J. R., Richkus, K. D., & Boomer, G. S. (2010). Estimating migratory game-bird productivity by integrating age ratio and banding data. Wildlife Research, 37(7), 612-622."
woodcock,2016,band,"Sullins, D. S., Conway, W. C., Haukos, D. A., Hobson, K. A., Wassenaar, L. I., Comer, C. E., & Hung, I. K. (2016). American woodcock migratory connectivity as indicated by hydrogen isotopes. The Journal of Wildlife Management, 80(3), 510-526."
woodcock,2017,band,"Moore, J. D., & Krementz, D. G. (2017). Migratory connectivity of American Woodcock using band return data. The Journal of Wildlife Management, 81(6), 1063-1072."
woodcock,2019,GPS,"Moore, J. D., Andersen, D. E., Cooper, T. R., Duguay, J. P., Oldenburger, S. L., Stewart, C. A., & Krementz, D. G. (2019). Migratory connectivity of American Woodcock derived using satellite telemetry. The Journal of Wildlife Management, 83(7), 1617-1627."
woodcock,2020,band,"Allen, B. B., McAuley, D. G., & Blomberg, E. J. (2020). Migratory status determines resource selection by American Woodcock at an important fall stopover, Cape May, New Jersey. The Condor, 122(4), duaa046."
woodcock,2020,GPS,"Allen, B. B., McAuley, D. G., & Blomberg, E. J. (2020). Migratory status determines resource selection by American Woodcock at an important fall stopover, Cape May, New Jersey. The Condor, 122(4), duaa046."
woodcock,2021,GPS,"Moore, J. D., Andersen, D. E., Cooper, T., Duguay, J. P., Oldenburger, S. L., Al Stewart, C., & Krementz, D. G. (2021). Migration phenology and patterns of American woodcock in central North America derived using satellite telemetry. Wildlife Biology, 2021(1), wlb-00816."
woodcock,2021,band,"Moore, J. D., Andersen, D. E., Cooper, T., Duguay, J. P., Oldenburger, S. L., Al Stewart, C., & Krementz, D. G. (2021). Migration phenology and patterns of American woodcock in central North America derived using satellite telemetry. Wildlife Biology, 2021(1), wlb-00816."
sandhill_crane,2021,GPS,"Donnelly, J. P., King, S. L., Knetter, J., Gammonley, J. H., Dreitz, V. J., Grisham, B. A., ... & Collins, D. P. (2021). Migration efficiency sustains connectivity across agroecological networks supporting sandhill crane migration. Ecosphere, 12(6), e03543."
sandhill_crane,2014,VHF,"Krapu, G. L., Brandt, D. A., Kinzel, P. J., & Pearse, A. T. (2014). Spring migration ecology of the mid‐continent sandhill crane population with an emphasis on use of the Central Platte River Valley, Nebraska. Wildlife Monographs, 189(1), 1-41."
sandhill_crane,2014,GPS,"Krapu, G. L., Brandt, D. A., Kinzel, P. J., & Pearse, A. T. (2014). Spring migration ecology of the mid‐continent sandhill crane population with an emphasis on use of the Central Platte River Valley, Nebraska. Wildlife Monographs, 189(1), 1-41."
sandhill_crane,2017,band,"Pearse, A. T., Krapu, G. L., & Brandt, D. A. (2017). Sandhill crane roost selection, human disturbance, and forage resources. The Journal of Wildlife Management, 81(3), 477-486."
sandhill_crane,2017,VHF,"Pearse, A. T., Krapu, G. L., & Brandt, D. A. (2017). Sandhill crane roost selection, human disturbance, and forage resources. The Journal of Wildlife Management, 81(3), 477-486."
sandhill_crane,2016,GPS,"Collins, D. P., Grisham, B. A., Conring, C. M., Knetter, J. M., Conway, W. C., Carleton, S. A., & Boggie, M. A. (2016). New summer areas and mixing of two greater sandhill crane populations in the Intermountain West. Journal of Fish and Wildlife Management, 7(1), 141-152."
sandhill_crane,1995,VM,"Drewien, R. C., Brown, W. M., & Kendall, W. L. (1995). Recruitment in Rocky Mountain greater sandhill cranes and comparison with other crane populations. The Journal of wildlife management, 339-356."
sandhill_crane,1987,VHF,"Iverson, G. C., Vohs, P. A., & Tacha, T. C. (1987). Habitat use by mid-continent sandhill cranes during spring migration. The Journal of wildlife management, 448-458."
sandhill_crane,1984,band,"Tacha, T. C., Vohs, P. A., & Iverson, G. C. (1984). Migration routes of sandhill cranes from mid-continental North America. The Journal of wildlife management, 48(3), 1028-1033."
sandhill_crane,2017,GPS,"Wolfson, D., Fieberg, J., Lawrence, J. S., Cooper, T. R., & Andersen, D. E. (2017). Range overlap between mid‐continent and eastern sandhill cranes revealed by GPS‐tracking. Wildlife Society Bulletin, 41(3), 489-498."
sandhill_crane,2015,GPS,"Fronczak, D. L., Andersen, D. E., Hanna, E. E., & Cooper, T. R. (2015). Annual survival rate estimate of satellite transmitter–marked eastern population greater sandhill cranes. Journal of Fish and Wildlife Management, 6(2), 464-471."
sandhill_crane,1987,band,"Pogson, T. H. (1987). Sandhill Crane banded in Alaska migrates to California and Oregon. North American Bird Bander, 12(3), 90-92."
golden_winged_warbler,2018,GLS,"Kramer, G. R., Andersen, D. E., Buehler, D. A., Wood, P. B., Peterson, S. M., Lehman, J. A., ... & Streby, H. M. (2018). Population trends in Vermivora warblers are linked to strong migratory connectivity. Proceedings of the National Academy of Sciences, 115(14), E3192-E3200."
golden_winged_warbler,2015,VHF,"Streby, H. M., McAllister, T. L., Peterson, S. M., Kramer, G. R., Lehman, J. A., & Andersen, D. E. (2015). Minimizing marker mass and handling time when attaching radio-transmitters and geolocators to small songbirds. The Condor: Ornithological Applications, 117(2), 249-255."
golden_winged_warbler,2015,GPS,"Peterson, S. M., Streby, H. M., Kramer, G. R., Lehman, J. A., Buehler, D. A., & Andersen, D. E. (2015). Geolocators on Golden-winged Warblers do not affect migratory ecology. The Condor: Ornithological Applications, 117(2), 256-261."
golden_winged_warbler,2015,GLS,"Streby, H. M., Kramer, G. R., Peterson, S. M., Lehman, J. A., Buehler, D. A., & Andersen, D. E. (2015). Tornadic storm avoidance behavior in breeding songbirds. Current Biology, 25(1), 98-102."
golden_winged_warbler,2017,GLS,"Kramer, G. R., Streby, H. M., Peterson, S. M., Lehman, J. A., Buehler, D. A., Wood, P. B., ... & Andersen, D. E. (2017). Nonbreeding isolation and population-specific migration patterns among three populations of Golden-winged Warblers. The Condor: Ornithological Applications, 119(1), 108-121."
golden_winged_warbler,2017,GLS,"Larkin, J. L., Raybuck, D., Roth, A., Chavarría‐Duriaux, L., Duriaux, G., Siles, M., & Smalling, C. (2017). Geolocators reveal migratory connectivity between wintering and breeding areas of Golden‐winged Warblers. Journal of Field Ornithology, 88(3), 288-298."
golden_winged_warbler,2017,GLS,"Bennett, R. E., Barker Swarthout, S., Bolsinger, J. S., Rodewald, A. D., Rosenberg, K. V., & Rohrbaugh, R. W. (2017). Extreme genetic similarity does not predict non‐breeding distribution of two closely related warblers. Journal of Field Ornithology, 88(2), 156-168."
golden_winged_warbler,2021,band,"Ritterson, J. D., King, D. I., & Chandler, R. B. (2021). Habitat‐specific survival of golden‐winged warblers Vermivora chrysoptera during the non‐breeding season in an agricultural landscape. Journal of Avian Biology, 52(3)."
golden_winged_warbler,2021,VM,"Ritterson, J. D., King, D. I., & Chandler, R. B. (2021). Habitat‐specific survival of golden‐winged warblers Vermivora chrysoptera during the non‐breeding season in an agricultural landscape. Journal of Avian Biology, 52(3)."
golden_winged_warbler,2021,band,"Fiss, C., McNeil, D., Rodewald, A., Heggenstaller, D., & Larkin, J. (2021). Cross-scale habitat selection reveals within-stand structural requirements for fledgling Golden-winged Warblers. Avian Conservation and Ecology, 16(1)."
golden_winged_warbler,2021,VHF,"Fiss, C., McNeil, D., Rodewald, A., Heggenstaller, D., & Larkin, J. (2021). Cross-scale habitat selection reveals within-stand structural requirements for fledgling Golden-winged Warblers. Avian Conservation and Ecology, 16(1)."
golden_winged_warbler,2013,band,"Bulluck, L., Buehler, D., Vallender, R., & Robertson, R. J. (2013). Demographic comparison of Golden-winged Warbler (Vermivora chrysoptera) populations in northern and southern extremes of their breeding range. The Wilson Journal of Ornithology, 125(3), 479-490."
golden_winged_warbler,2013,VM,"Bulluck, L., Buehler, D., Vallender, R., & Robertson, R. J. (2013). Demographic comparison of Golden-winged Warbler (Vermivora chrysoptera) populations in northern and southern extremes of their breeding range. The Wilson Journal of Ornithology, 125(3), 479-490."